"","GADS_alphas","GADS_gammas","GADS_scales","GADS_shapes","YT_alphas","YT_gammas","YT_scales","YT_shapes","META_alphas","META_gammas","META_scales","META_shapes","RADIO_alphas","RADIO_gammas","RADIO_scales","RADIO_shapes","RADIO2_alphas","RADIO2_gammas","RADIO2_scales","RADIO2_shapes","TV_alphas","TV_gammas","TV_scales","TV_shapes","TV2_alphas","TV2_gammas","TV2_scales","TV2_shapes","train_size","TV_inflexion","TV2_inflexion","RADIO_inflexion","RADIO2_inflexion","META_inflexion","GADS_inflexion","YT_inflexion","TV_inflation","TV2_inflation","RADIO_inflation","RADIO2_inflation","META_inflation","GADS_inflation","YT_inflation","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"111",1.490975557,0.85323666433,0.04462678202,1.93834777196554,2.9714292125,0.62326259357,0.07491900732,0.70646992153791,1.93446361,0.86978615183,0.01674000935,1.59197363253849,2.956072178,0.8344659915,0.0003126171336,1.49537809715676,2.485103916,0.92968171798,0.08441487699,0.82352639282169,0.76565227175,0.98341010507,0.02814820041,0.70894679708794,2.78051891575,0.4119797364,0.08088594019,1.36943921981549,1,14124.5067954524,10467.233378673,2245.38897856228,5002.4234377001,2130.5428951401,4547.22531245802,2329.02747698379,2.50400521031519,5.19279665848739,1.38945723830748,3.81698731803479,2.53116262610802,4.56848888564488,3.39622910407843,0.343992841615858,NA,NA,0.0974482014888371,NA,NA,0.0974482014888371,0.237088382390147,0,189542.830657947,0.009775875935,19194408.2855017,1e-04,0,0.143329858779907,485.486071109772,"3_374_6",3,374,6,2617,TRUE,TRUE,1,0.0616022707414859,1,FALSE
"112",2.73417966025,0.44847143045,0.05067860415,1.43450423440209,1.647239466,0.50431546898,0.006891595323,0.35685872737169,2.920709022,0.59541501577,0.003650671758,0.88727880444172,2.9308250575,0.85305832519,0.04542306833,0.158242943837431,2.73988745675,0.80608658625,0.06221444798,0.98850810972337,0.758640439,0.63463760435,0.08957828601,0.24255726293068,2.94858451375,0.4020543881,0.08106519663,1.21898969826771,1,8224.69528990723,9567.97752369706,2506.80436929733,4330.1534622075,1071.96257339827,2252.06647023839,1093.95013286512,2.17075513489773,4.82803534873392,1.82379159195424,3.80592233083352,1.84174090012346,4.28455260890542,1.69903053044026,0.374569696411964,NA,NA,0.095150045202957,NA,NA,0.095150045202957,0.260223096847624,0,122622.179902576,0.006289061312,19194408.2855017,1e-04,0,0.145213842391968,497.372391939163,"3_385_1",3,385,1,2689,TRUE,TRUE,3,0.043674366490423,1,FALSE
"113",2.73417966025,0.44847143045,0.05067860415,1.70175401784476,1.647239466,0.50431546898,0.006891595323,0.35685872737169,2.920709022,0.59541501577,0.003650671758,0.88727880444172,2.9308250575,0.85305832519,0.04542306833,0.158242943837431,2.73988745675,0.80608658625,0.06221444798,0.98850810972337,0.758640439,0.63463760435,0.08957828601,0.24255726293068,2.94858451375,0.4020543881,0.08106519663,1.21898969826771,1,8224.69528990723,9567.97752369706,2506.80436929733,4330.1534622075,1071.96257339827,2438.68425826962,1093.95013286512,2.17075513489773,4.82803534873392,1.82379159195424,3.80592233083352,1.84174090012346,4.67264117141498,1.69903053044026,0.374523663678903,NA,NA,0.0951535467410303,NA,NA,0.0951535467410303,0.258521800763542,0,122622.179902576,0.006289061312,19194408.2855017,1e-04,0,0.158559799194336,513.522570133209,"3_397_7",3,397,7,2779,TRUE,TRUE,3,0.0434467917260837,1,FALSE
"114",2.52592954175,0.61458822605,0.07531827332,1.53284832915148,2.99458982875,0.5141189358,0.009036766717,0.021893676421692,2.69178897025,0.9375847779,0.005080097002,1.30677648510889,2.946663384,0.93798290465,0.02859101417,0.4188011598952,1.46007734175,0.91249812414,0.07704228374,1.04014204209766,0.92922247725,0.53146337907,0.07234188466,0.92877757859926,2.361207356,0.56773420394,0.07494920155,1.29581841303989,1,10013.7686001548,13493.5208693328,2996.20773852775,5498.11929172677,1781.80110516557,3771.24336889403,1036.2285278016,3.97578882055365,4.788622084774,2.10691739192261,4.26772727531667,1.94556213401591,5.33769035047628,1.58928954392407,0.267302521411183,NA,NA,0.102986876704131,NA,NA,0.102986876704131,0.225895471548384,0,398119.212535052,0.02064348063,19194408.2855017,1e-04,0,0.182179927825928,516.335029125214,"3_399_7",3,399,7,2793,TRUE,TRUE,1,0.1130065635618,1,FALSE
"115",1.97552075125,0.76490633378,0.0521969513,1.37542584746914,2.91484280575,0.58329220752,0.02312108831,0.46068688310432,2.98382599825,0.93371877429,0.022411497,0.3831254557696,2.80944652475,0.99551198927,0.01030580227,0.26021821923871,2.54685111725,0.69119357585,0.06216869805,1.34031850192419,0.583051611125,0.97397256297,0.004510696787,1.21871615594551,2.16948078325,0.76729320435,0.09125459974,1.18072969696343,1,12263.7990576537,19043.5323424226,2820.35545130096,4433.89978011421,1776.85225328308,3764.43076963632,1479.47632328643,1.93898094016946,5.12097633358263,1.66074508932728,4.53399440394864,1.95606627204071,4.19140584712902,2.05774610297016,0.333199461260008,NA,NA,0.0982465955182291,NA,NA,0.0982465955182291,0.232235227928367,0,219049.342183897,0.01131327485,19194408.2855017,1e-04,0,0.175407886505127,516.565601110458,"3_400_1",3,400,1,2794,TRUE,TRUE,1,0.0687110689752989,1,FALSE
"116",2.71993537225,0.55444055616,0.07018925078,1.6168027528204,2.98699838175,0.46101063832,0.003521180062,0.26863689188403,2.90565845375,0.71511545957,0.01775746495,0.63568560213085,2.8864990675,0.94853157866,0.06682863389,0.054811912307598,2.13353385575,0.77073340699,0.08788900175,0.80293641357213,1.039205466,0.47148283943,0.03373836667,1.3590815695239,1.82566359025,0.83573360869,0.04726291906,1.32759895933312,1,8483.60913379375,18268.2974807039,2656.38963696848,4081.01605956917,1400.84721083909,3500.7073845791,903.258557189805,3.59230447890297,4.08786437649843,1.67652676467184,3.75686456215467,2.01266629815212,5.5054485316628,1.51548769149488,0.235027798688657,NA,NA,0.105230677291457,NA,NA,0.105230677291457,0.214689170314563,0,507507.128785653,0.02634299762,19194408.2855017,1e-04,0,0.134750843048096,520.397177934647,"3_402_7",3,402,7,2814,FALSE,TRUE,1,0.133976676388284,1,FALSE
"117",2.62079788025,0.57369290403,0.07102851624,1.53284832915148,2.99458982875,0.5141189358,0.009036766717,0.021893676421692,2.69178897025,0.9375847779,0.005080097002,1.30677648510889,2.946663384,0.93798290465,0.02859101417,0.4188011598952,1.46007734175,0.91249812414,0.07704228374,1.04014204209766,0.92922247725,0.53146337907,0.07234188466,0.92877757859926,2.361207356,0.56773420394,0.07494920155,1.29581841303989,1,10013.7686001548,13493.5208693328,2996.20773852775,5498.11929172677,1781.80110516557,3520.30102172618,1036.2285278016,3.97578882055365,4.788622084774,2.10691739192261,4.26772727531667,1.94556213401591,5.33769035047628,1.58928954392407,0.267398356872369,NA,NA,0.102980141238354,NA,NA,0.102980141238354,0.227783035510108,0,398119.212535052,0.02064348063,19194408.2855017,1e-04,0,0.150548934936523,521.993010044098,"3_404_2",3,404,2,2823,TRUE,TRUE,2,0.11299829453273,1,FALSE
"118",2.4340711915,0.64262288277,0.07272144334,1.5918967441831,2.190691033,0.59186849951,0.01383907541,0.25266833235193,2.8639388885,0.70986940827,0.02093626306,0.83066034150642,2.9404085595,0.61343630192,0.01701980915,1.57529616165373,1.131605788,0.97096410052,0.03713115957,1.89794105640234,0.5891834861,0.74880668742,0.04509499096,0.9517933649524,2.3170839335,0.76539514231,0.06708097817,1.52563852345979,1,12571.2883465518,19079.3566700567,2241.35144454666,5518.28795537529,1647.33276849869,4024.09914214654,1315.27699778055,3.27382437887933,4.99526942358235,2.53357402492965,4.0103945085643,2.39900029431876,5.45638171821506,1.76356606246239,0.222630663023238,NA,NA,0.106079934271019,NA,NA,0.106079934271019,0.2160279368858,0,578790.927925561,0.03005714849,19194408.2855017,1e-04,0,0.169639825820923,534.511536121368,"3_413_1",3,413,1,2885,FALSE,TRUE,2,0.142036097210846,1,FALSE
"119",2.62185101,0.57891154291,0.06697003075,1.50050404384661,2.2882946725,0.52880753035,0.01885870429,0.099688805550738,2.296947007,0.84851296248,0.01224458988,1.13693767747389,2.95376348475,0.9348769371,0.02950048666,0.45533336039384,0.85247858425,0.99580934892,0.06441508471,0.68522421327644,0.77461698125,0.317664535959,0.07609749581,0.56218425578193,2.481343451,0.59967609889,0.04112823042,1.43365247959196,1,5069.83543496738,12970.5623304977,3022.1636215082,4337.84076990006,1904.62374905763,3339.95516174212,1120.07158217859,3.05592729384508,3.94726002491608,2.15523029351224,3.09991398512033,2.31410060153835,4.9890289140286,1.681071283677,0.22495698573071,NA,NA,0.105921090174717,NA,NA,0.105921090174717,0.2037698826277,0,549691.879559192,0.02854097992,19194408.2855017,1e-04,0,0.191642999649048,537.318417072296,"3_414_7",3,414,7,2898,FALSE,TRUE,1,0.140392078783136,1,FALSE
"120",2.62079788025,0.57369290403,0.07102851624,1.53284832915148,2.99458982875,0.5322313504,0.004193987611,0.040999348950299,2.818520259,0.90246819717,0.004363002172,1.30677648510889,2.946663384,0.93798290465,0.02859101417,0.4188011598952,1.46007734175,0.91249812414,0.07704228374,1.04014204209766,0.92922247725,0.53146337907,0.07234188466,0.92877757859926,2.361207356,0.56773420394,0.07494920155,1.29581841303989,1,10013.7686001548,13493.5208693328,2996.20773852775,5498.11929172677,1715.06499358481,3520.30102172618,1077.47438420593,3.97578882055365,4.788622084774,2.10691739192261,4.26772727531667,1.94556213401591,5.33769035047628,1.59566485650203,0.267441692239269,NA,NA,0.102977095416493,NA,NA,0.102977095416493,0.227374814551771,0,398119.212535052,0.02064348063,19194408.2855017,1e-04,0,0.172534942626953,540.598700046539,"3_417_1",3,417,1,2913,TRUE,TRUE,1,0.112957331146151,1,FALSE
