"","solID","mape","decomp.rssd","nrmse","nrmse_train","GADS_shapes","YT_shapes","META_shapes","RADIO_shapes","RADIO2_shapes","TV_shapes","TV2_shapes","GADS_scales","YT_scales","META_scales","RADIO_scales","RADIO2_scales","TV_scales","TV2_scales","GADS_alphas","YT_alphas","META_alphas","RADIO_alphas","RADIO2_alphas","TV_alphas","TV2_alphas","GADS_gammas","YT_gammas","META_gammas","RADIO_gammas","RADIO2_gammas","TV_gammas","TV2_gammas","cluster","n","top_sol"
"1","1_209_7",0,0.255750617662729,0.0947214939729802,0.0947214939729802,0.510636273089261,0.602775423910248,0.192241796387228,0.0572470083434751,0.990169322856122,0.92675292726825,0.451512216941336,0.833384253839945,0.209508856826276,0.581724241633926,0.943204494816491,0.827882962629223,0.505011839907559,0.627104587002511,0.31809974261068,0.566008959960033,0.440795201295943,0.959304520771498,0.729861904426722,0.574604804866923,0.620726605217243,0.566973015015473,1,0.30623387905486,0.835208741716676,0.945460000377773,0.320131511712934,0.377928276553303,3,31,FALSE
"2","1_214_2",0,0.255226874205595,0.0947237095749047,0.0947237095749047,0.510636273089261,0.602775423910248,0.192241796387228,0.0572470083434751,0.847275114264962,0.92675292726825,0.451512216941336,0.833384253839945,0.209508856826276,0.581724241633926,0.943204494816491,1,0.505011839907559,0.627104587002511,0.31809974261068,0.566008959960033,0.440795201295943,0.959304520771498,0.729609625898516,0.574604804866923,0.620726605217243,0.566973015015473,1,0.30623387905486,0.835208741716676,0.656769434430962,0.320131511712934,0.377928276553303,3,31,FALSE
"3","1_218_4",0,0.245050501052895,0.0948113605445002,0.0948113605445002,0.510636273089261,0.602775423910248,0.309555851436184,0.0305129708499095,0.990169322856122,0.92675292726825,0.451512216941336,0.833384253839945,0.209508856826276,0.581724241633926,0.943306455749716,0.827882962629223,0.505011839907559,0.627104587002511,0.31809974261068,0.566008959960033,0.440795201295943,0.967974661092809,0.710883074692643,0.574604804866923,0.620726605217243,0.566973015015473,1,0.30623387905486,0.948053662883832,0.603546835953237,0.320131511712934,0.377928276553303,3,31,TRUE
"4","1_244_2",0,0.271733178877997,0.0947433428442552,0.0947433428442552,0.510636273089261,0.602775423910248,0.309555851436184,0.0305129708499095,0.724183633618041,0.855909841246812,0.451512216941336,0.833384253839945,0.209508856826276,0.581724241633926,0.943306455749716,0.827882962629223,0.193834923193088,0.627104587002511,0.31809974261068,0.566008959960033,0.440795201295943,0.967974661092809,0.710883074692643,0.21854670038016,0.774312313700006,0.566973015015473,1,0.30623387905486,0.948053662883832,0.603546835953237,0.236447605341346,0.377928276553303,3,31,FALSE
"5","1_260_5",0,0.366359949074131,0.0916269948382924,0.0916269948382924,0.0361938647465229,0.395881420518146,0.392136029959721,0.0795625430419518,0.699767920529788,0.82214977145879,0.399014588040397,0.740746885142887,0.925933382970663,0.242663059188361,0.369287038289882,0.362812519671922,0.223946291673537,0.563422682047715,0.595230752702285,0.176091919194882,0.871431779354979,0.631246059806174,0.582511589231004,0.0943274788576538,0.796990244202756,0.0481958978443493,0.863772261491617,0.438008843264504,0.227785731657978,0.927929916767028,0.262052188330984,0.0878914161813746,2,53,FALSE
"6","1_279_7",0,0.285815088491731,0.0936199852324883,0.0936199852324883,0.551196226743781,0.381765420460919,0.0235251866882739,0.0427302846855638,0.867401267702357,0.938257338700879,0.0443884980688884,0.840685271771422,0.0738300349751575,0.204433972790857,0.145506460138442,0.747545698978397,0.31693028914085,0.74676976681438,0.257735703210397,0.735931865547181,0.467769691129759,0.757326782870866,0.76422665769577,0.619375174625336,0.834840443973161,0.401210743025514,0.722944359559098,0.546810818426665,0.891199442250722,0.681019992548796,0.24897376269214,0.089104656391133,3,31,FALSE
"7","1_298_5",0,0.269734981286175,0.0944263304829223,0.0944263304829223,0.408586104776328,0.653437242739691,0.0192483092900031,0.00630210606417646,0.803110680908404,0.953010423282271,0.392846271586733,0.804167220873518,0.320935557332171,0.671188781259455,0.745756702624345,0.699504629919488,0.721007985127347,1,0.449910466904315,0.491385714919778,0.60816730916674,0.978369334723433,0.689246989514566,0.923680801028815,0.432435892280567,0.509326256819601,0.926614311655604,0.38646010152338,0.966516910809689,0.324870621770683,0.324119006116247,0.931065626189364,3,31,FALSE
"8","1_305_7",0,0.284260532904919,0.0934665571569537,0.0934665571569537,0.515188581434741,1,0.249045435292215,0.0551582333023396,0.821200907853227,0.896479391594116,0.178352851800841,0.744515055153571,0.309749211841734,0.892618657549708,0.265891575436117,0.798066300364076,0.314778272088445,0.671508876854651,0.279262048974351,0.758215815647579,0.633580253007267,0.774249636079926,0.764147765227539,0.553432185445501,0.692013171506826,0.369815879290683,0.921555893068068,0.434615357480178,0.844757102182213,0.54949853885971,0.261851262937306,0.127999646632092,3,31,FALSE
"9","1_306_4",0,0.33108985702708,0.0922705823643696,0.0922705823643696,0.281690154825278,0.222543057289473,0.137887875293922,0.11189349911485,0.0185851573232437,0.741473696662711,0.88628215753443,0.53982171743714,0.991133518135873,0.116008319766539,0.0242450727986028,0.244654524672357,0.261523869139794,0.349278004228195,1,0.981510740139496,0.793211049467795,0.729611465134192,0.690351442187581,0.211214671198896,0.498198587346396,0.0274599853597994,0.469776221035516,0.499378915096828,0.693815165556524,0.668534236673108,0.275127931620553,0.148240454419757,2,53,FALSE
"10","1_315_1",0,0.330511194762593,0.0922690516527632,0.0922690516527632,0.015510010352086,0.222543057289473,0.137887875293922,0.11189349911485,0.113399466315453,0.71184323466042,0.88628215753443,0.459827260293059,0.650896269436772,0.116008319766539,0.0242450727986028,0.8125397786078,0.204009414427,0.349278004228195,0.717941080913952,0.982301495799838,0.793211049467795,0.729611465134192,0.690351442187581,0.153231243571181,0.56419913958087,0.0719772039753467,0.57205851417894,0.499378915096828,0.693815165556524,0.668534236673108,0.297318391430018,0.305893187022001,1,48,FALSE
