"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","spend_share","spend_share_refresh","mean_spend","total_spend","mean_exposure","mean_exposure_refresh","effect_share","effect_share_refresh","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","mean_response","mean_spend_adstocked","mean_carryover","roi_mean","roi_total","cpa_mean","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"11","TV",122315.168807836,8968113.47500898,0.0981339700063464,64057.9533929213,0.104272994580935,8968113.47500898,0.0981339700063464,64057.9533929213,0.104272994580935,TRUE,0.464568907152569,0.464568907152569,2654.85514285714,371679.72,NA,NA,0.515199817466698,0.515199817466698,1,0.3801908252427,NA,NA,0.0947214939729802,NA,NA,0.0947214939729802,0.255750617662729,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_209_7",1,209,7,1463,1,64057.9533929213,13047.5316350458,10392.6764921886,24.128605873382,24.128605873382,0.0414445826355501,0.0414445826355501,3,FALSE,29.2746283163621,1.10641816693838,16.6587718925172,41.8206944191996,0.813898702820968
"12","TV2",36417.8368078398,697069.608183463,0.00762771436963147,5014.88926750693,0.00816319432197974,697069.608183463,0.00762771436963147,5014.88926750693,0.00816319432197974,TRUE,0.202429791708534,0.202429791708534,1156.81821428571,161954.55,NA,NA,0.0400452264457261,0.0400452264457261,1,0.3801908252427,NA,NA,0.0947214939729802,NA,NA,0.0947214939729802,0.255750617662729,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_209_7",1,209,7,1463,1,4979.06862988188,4543.49226748052,3386.67405319481,4.30410635689743,4.30410635689743,0.2323362661328,0.2323362661328,3,FALSE,4.25333978508865,0.132551609299395,2.75432901640834,5.76878903129365,0.64602147599725
"13","RADIO",309292.616317744,3811961.80583433,0.0417125571126551,28029.1309252524,0.0456255821841496,3811961.80583433,0.0417125571126551,28029.1309252524,0.0456255821841496,TRUE,0.0786609821095089,0.0786609821095089,449.521071428571,62932.95,NA,NA,0.218989426486255,0.218989426486255,1,0.3801908252427,NA,NA,0.0947214939729802,NA,NA,0.0947214939729802,0.255750617662729,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_209_7",1,209,7,1463,1,27228.2986131023,812.108793693189,362.587722264618,60.5717959484551,60.5717959484551,0.0165093338300712,0.0165093338300712,3,FALSE,64.9527150188296,1.61458217134844,46.5210688667462,83.2395472164376,0.13185713152989
"14","RADIO2",42787.2272673967,707757.766942727,0.00774467000963619,5361.80126471763,0.00872789473604588,707757.766942727,0.00774467000963619,5361.80126471763,0.00872789473604588,TRUE,0.0729121375392983,0.0729121375392983,416.668357142857,58333.57,NA,NA,0.0406592393545918,0.0406592393545918,1,0.3801908252427,NA,NA,0.0947214939729802,NA,NA,0.0947214939729802,0.255750617662729,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_209_7",1,209,7,1463,1,5055.41262101948,2593.41834659739,2176.74998945453,12.1329410653716,12.1329410653716,0.0824202470457953,0.0824202470457953,3,FALSE,6.52920154658129,1.01786359082273,0,18.1078935311465,0.778114114865569
"15","META",30257.5780606406,1167869.87153085,0.0127794666362659,11338.5424420471,0.0184567834592406,1167869.87153085,0.0127794666362659,11338.5424420471,0.0184567834592406,TRUE,0.0504802219713111,0.0504802219713111,288.4775,40386.85,NA,NA,0.0670917407896588,0.0670917407896588,1,0.3801908252427,NA,NA,0.0947214939729802,NA,NA,0.0947214939729802,0.255750617662729,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_209_7",1,209,7,1463,1,8341.92765379177,672.72503714511,384.24753714511,28.9170824545823,28.9170824545823,0.0345816353212886,0.0345816353212886,3,FALSE,26.5736379129062,1.33661078685286,11.3663222414522,41.7632355171837,0.576871577518477
"16","GADS",34703.0711252479,2054286.19217531,0.0224791156054346,14673.4728012522,0.0238853548833101,2054286.19217531,0.0224791156054346,14673.4728012522,0.0238853548833101,TRUE,0.119277756794444,0.119277756794444,681.632285714286,95428.52,NA,NA,0.118014549457071,0.118014549457071,1,0.3801908252427,NA,NA,0.0947214939729802,NA,NA,0.0947214939729802,0.255750617662729,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_209_7",1,209,7,1463,1,14673.4728012522,2968.67949885482,2287.04721314054,21.5269627169667,21.5269627169667,0.0464533716691878,0.0464533716691878,3,FALSE,36.0178388689929,2.74951832400006,4.71310720412058,67.2420579403717,0.812092110588933
"17","YT",0,0,0,0,0,0,0,0,0,TRUE,0.0116702027243347,0.0116702027243347,66.6912857142857,9336.78,NA,NA,0,0,1,0.3801908252427,NA,NA,0.0947214939729802,NA,NA,0.0947214939729802,0.255750617662729,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_209_7",1,209,7,1463,1,0,182.776484561697,116.085198847411,0,0,Inf,Inf,3,FALSE,0,0,0,0,NA
"18","(Intercept)",129440.568723379,18121679.6212731,0.198297263897729,129440.568723379,0.210715027884902,18121679.6212731,0.198297263897729,129440.568723379,0.210715027884902,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.38016182936429,NA,NA,0.0947237095749047,NA,NA,0.0947237095749047,0.255226874205595,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_214_2",1,214,2,1493,1,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"19","trend",0.509013989951733,47887147.9095993,0.524007189443529,342051.056497138,0.556821548442692,47887147.9095993,0.524007189443529,342051.056497138,0.556821548442692,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.38016182936429,NA,NA,0.0947237095749047,NA,NA,0.0947237095749047,0.255226874205595,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_214_2",1,214,2,1493,1,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"20","season",0.789814961630054,1095062.97424328,0.0119827740102656,7821.87838745199,0.0127331588448635,1095062.97424328,0.0119827740102656,7821.87838745199,0.0127331588448635,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.38016182936429,NA,NA,0.0947237095749047,NA,NA,0.0947237095749047,0.255226874205595,0,106790.233344669,0.005464158055,19194408.2855017,1e-04,"1_214_2",1,214,2,1493,1,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
